Category,Description,Carbohydrate,Cholesterol,Choline,Fiber,Kilocalories,Protein,Sugar Total,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Total Lipid
LAMBS QUARTERS,"LAMBS QUARTERS,CKD,BLD,DRND,W/SALT",5.0,0,0,2.099999905,32,3.2,0.620000005,88.9,0.131,0.307,0.052,0.7
LAMBSQUARTERS,"LAMBSQUARTERS,RAW (NORTHERN PLAINS INDIANS)",6.96,0,20,6.300000191,47,4.21,0.0,85.23,0.0,0.0,0.0,0.28
LASAGNA,"LASAGNA,CHS,FRZ,PREP",13.84,13,0,1.700000048,130,6.54,4.230000019,72.78,1.573,1.022,2.11,5.33
LASAGNA W/ MEAT & SAU,"LASAGNA W/ MEAT & SAU,LOW-FAT,FRZ ENTREE",13.5,7,0,1.299999952,101,6.81,0.0,76.36,0.698,0.279,0.967,2.23
LEAVENING AGENTS,"LEAVENING AGENTS,BAKING PDR,DOUBLE-ACTING,NA AL SULFATE",27.7,0,0,0.200000003,53,0.0,0.0,5.0,0.0,0.0,0.0,0.0
LEEKS,"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,WO/SALT",7.62,0,0,1.0,31,0.81,2.109999895,90.8,0.003,0.111,0.027,0.2
LEMON GRASS (CITRONELLA),"LEMON GRASS (CITRONELLA),RAW",25.31,0,0,0.0,99,1.82,0.0,70.58,0.054,0.17,0.119,0.49
LEMON JUC,"LEMON JUC,CND OR BTLD",6.48,0,5,0.400000006,21,0.4,2.400000095,92.46,0.011,0.085,0.038,0.29
LEMON JUICE,"LEMON JUICE,RAW",8.63,0,5,0.400000006,25,0.38,2.400000095,90.73,0.0,0.0,0.0,0.0
LEMON PEEL,"LEMON PEEL,RAW",16.0,0,8,10.60000038,47,1.5,4.170000076,81.6,0.011,0.089,0.039,0.3
LEMONADE,"LEMONADE,LO CAL,W/ASPRT,PDR,PREP W/H2O",0.68,0,0,0.0,3,0.03,0.0,99.1,0.0,0.001,0.0,0.0
LEMONADE-FLAVOR DRK,"LEMONADE-FLAVOR DRK,PDR,PREP W/H2O",6.68,0,0,0.0,26,0.01,6.679999828,92.88,0.0,0.0,0.0,0.0
LEMONS,"LEMONS,RAW,WITH PEEL",10.7,0,0,4.699999809,20,1.2,0.0,87.4,0.011,0.089,0.039,0.3
LENTILS,"LENTILS,SPROUTED,CKD,STIR-FRIED,WO/SALT",21.25,0,0,0.0,101,8.8,0.0,68.7,0.095,0.201,0.053,0.45
LETTUCE,"LETTUCE,RED LEAF,RAW",2.26,0,12,0.899999976,16,1.33,0.479999989,95.64,0.0,0.0,0.0,0.22
LIGHT ICE CRM,"LIGHT ICE CRM,SOFT SERVE,BLENDED W/ COOKIE PIECES",25.55,15,19,0.100000001,169,3.97,21.19000053,63.9,1.716,0.364,2.754,5.66
LIMA BNS,"LIMA BNS,LRG,MATURE SEEDS,CND",14.91,0,0,4.800000191,79,4.93,0.0,77.08,0.015,0.074,0.039,0.17
LIME JUC,"LIME JUC,CND OR BTLD,UNSWTND",6.69,0,5,0.400000006,21,0.25,1.370000005,92.52,0.022,0.064,0.026,0.23
LIME JUICE,"LIME JUICE,RAW",8.42,0,5,0.400000006,25,0.42,1.690000057,90.79,0.008,0.023,0.008,0.07
LIMEADE,"LIMEADE,FRZ CONC,PREP W/H2O",13.79,0,0,0.0,52,0.0,13.27000046,86.08,0.0,0.0,0.0,0.0
LIMES,"LIMES,RAW",10.54,0,5,2.799999952,30,0.7,1.690000057,88.26,0.019,0.055,0.022,0.2
LING,"LING,COOKED,DRY HEAT",0.0,51,0,0.0,111,24.35,0.0,73.88,0.0,0.0,0.0,0.82
